StartNodeType,StartNode,RelationshipType,EndNode,EndNodeType
['Identity'],75,CONTAINS,项目经验,['Keyword']
['Identity'],75,CONTAINS,设计,['Keyword']
['Identity'],75,CONTAINS,CSS,['Keyword']
['Identity'],75,CONTAINS,Vue,['Keyword']
['Identity'],76,CONTAINS,计算机,['Keyword']
['Identity'],76,CONTAINS,数学,['Keyword']
['Identity'],76,CONTAINS,前端,['Keyword']
['Identity'],76,CONTAINS,软件,['Keyword']
['Identity'],76,CONTAINS,项目经验,['Keyword']
['Identity'],76,CONTAINS,报告,['Keyword']
['Identity'],76,CONTAINS,设计,['Keyword']
['Identity'],76,CONTAINS,数据库,['Keyword']
['Identity'],76,CONTAINS,沟通,['Keyword']
['Identity'],77,CONTAINS,前端,['Keyword']
['Identity'],77,CONTAINS,后端,['Keyword']
['Identity'],77,CONTAINS,小程序,['Keyword']
['Identity'],77,CONTAINS,浏览器兼容,['Keyword']
['Identity'],77,CONTAINS,页面架构,['Keyword']
['Identity'],77,CONTAINS,HTML,['Keyword']
['Identity'],77,CONTAINS,CSS,['Keyword']
['Identity'],77,CONTAINS,web,['Keyword']
['Identity'],78,CONTAINS,计算机,['Keyword']
['Identity'],78,CONTAINS,前端,['Keyword']
['Identity'],78,CONTAINS,后端,['Keyword']
['Identity'],78,CONTAINS,软件,['Keyword']
['Identity'],78,CONTAINS,实习,['Keyword']
['Identity'],78,CONTAINS,页面布局,['Keyword']
['Identity'],78,CONTAINS,设计,['Keyword']
['Identity'],78,CONTAINS,JavaScript,['Keyword']
['Identity'],78,CONTAINS,Vue,['Keyword']
['Identity'],78,CONTAINS,前后端分离,['Keyword']
['Identity'],79,CONTAINS,计算机,['Keyword']
['Identity'],79,CONTAINS,前端,['Keyword']
['Identity'],79,CONTAINS,实习,['Keyword']
['Identity'],79,CONTAINS,移动端,['Keyword']
['Identity'],79,CONTAINS,设计,['Keyword']
['Identity'],79,CONTAINS,HTML,['Keyword']
['Identity'],79,CONTAINS,CSS,['Keyword']
['Identity'],79,CONTAINS,UI,['Keyword']
['Identity'],79,CONTAINS,PC,['Keyword']
['Identity'],79,CONTAINS,JAVA,['Keyword']
['Identity'],80,CONTAINS,小程序,['Keyword']
['Identity'],81,CONTAINS,前端,['Keyword']
['Identity'],81,CONTAINS,项目经验,['Keyword']
['Identity'],81,CONTAINS,实习,['Keyword']
['Identity'],81,CONTAINS,工作经验,['Keyword']
['Identity'],81,CONTAINS,设计,['Keyword']
['Identity'],81,CONTAINS,HTML,['Keyword']
['Identity'],81,CONTAINS,CSS,['Keyword']
['Identity'],81,CONTAINS,Vue,['Keyword']
['Identity'],81,CONTAINS,web,['Keyword']
['Identity'],81,CONTAINS,UI,['Keyword']
['Identity'],81,CONTAINS,Bootstrap,['Keyword']
['Identity'],82,CONTAINS,计算机,['Keyword']
['Identity'],82,CONTAINS,前端,['Keyword']
['Identity'],82,CONTAINS,软件,['Keyword']
['Identity'],82,CONTAINS,小程序,['Keyword']
['Identity'],82,CONTAINS,沟通,['Keyword']
['Identity'],82,CONTAINS,uni-app,['Keyword']
['Identity'],82,CONTAINS,维护,['Keyword']
['Identity'],82,CONTAINS,web,['Keyword']
['Identity'],82,CONTAINS,jquery,['Keyword']
['Identity'],82,CONTAINS,app,['Keyword']
['Identity'],83,CONTAINS,前端,['Keyword']
['Identity'],83,CONTAINS,后端,['Keyword']
['Identity'],83,CONTAINS,小程序,['Keyword']
['Identity'],83,CONTAINS,浏览器兼容,['Keyword']
['Identity'],83,CONTAINS,设计,['Keyword']
['Identity'],83,CONTAINS,沟通,['Keyword']
['Identity'],83,CONTAINS,HTML,['Keyword']
['Identity'],83,CONTAINS,JavaScript,['Keyword']
['Identity'],83,CONTAINS,CSS,['Keyword']
['Identity'],83,CONTAINS,Vue,['Keyword']
['Identity'],83,CONTAINS,维护,['Keyword']
['Identity'],83,CONTAINS,UI,['Keyword']
['Identity'],83,CONTAINS,JSON,['Keyword']
['Identity'],85,CONTAINS,计算机,['Keyword']
['Identity'],85,CONTAINS,后端,['Keyword']
['Identity'],85,CONTAINS,小程序,['Keyword']
['Identity'],85,CONTAINS,工作经验,['Keyword']
['Identity'],85,CONTAINS,设计,['Keyword']
['Identity'],85,CONTAINS,数据库,['Keyword']
['Identity'],85,CONTAINS,维护,['Keyword']
['Identity'],86,CONTAINS,前端,['Keyword']
['Identity'],86,CONTAINS,实习,['Keyword']
